Country or Territory,ISO 3 code,"Cancer deaths attributable to alcohol
Burkina Faso,BFA,7.4,30.5,3.5,33.1,2.6,8.1,0.87,97.2,5.6,43,95,3rd-4th,4.6,1.5,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Liver,Liver,No data,158.1,5852.6,Pilot,FCTC party,Graphic warning labels,91,Not introduced,None,0,8691,PBCR,No coverage,Data not featured,45.1,0.8,4,Non-participant
Uruguay,URY,5.6,22.8,14.8,8.7,24.9,30.6,4.8,45,2,9.3,1.4,1st,46.2,13.5,Breast,Very high,1st,No data,Breast,Breast,Prostate,Lung,National high quality data,643.2,5843.3,No program,FCTC party,Graphic warning labels,95,Introduced,None,0.86,376.6,High quality PBCR,Medium,Data not featured,12.4,0.6,4,Global Relay For Life Participant
Uzbekistan,UZB,7.8,19.1,0.9,21.3,13.8,19,0.66,83.7,2.4,28,12,2nd,14.1,4.1,Breast,High,2nd,No data,Breast,Breast,Lung,Lung,No data,182.4,13108.3,No program,FCTC party,No graphic warning labels,99,Not introduced,None,0.28,13129.5,PBCR,High,Data not featured,9.9,0.3,0,Non-participant
"Venezuela, Bolivarian Republic of",VEN,5.5,16.7,9.9,20.3,22.4,28.6,1.4,No data,2.4,17,0.4,2nd,19.7,11.4,Breast,High,2nd,2.8,Breast,Breast,Prostate,Prostate,No data,461.1,27374.7,No program,FCTC party,Graphic warning labels,84,Not introduced,None,0.83,20312.5,No information,Medium,Data not featured,23.7,No data,6,Non-participant
Viet Nam,VNM,4.7,38.7,0.9,31.6,1.6,2.6,0.15,73.2,2,30,35,1st,35.4,11.1,Breast,Medium,1st,No data,Breast,Breast,Liver,Liver,No data,279,64300.4,National,FCTC party,Graphic warning labels,94,Not introduced,None,0.22,0,High quality PBCR,No coverage,Data not featured,7.1,0.3,4,Non-participant
Eswatini,SWZ,6.3,9.5,0.8,54.8,5.4,26.2,1.5,66.5,3.3,17,37,3rd-4th,4.3,1.8,Other,Medium,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Prostate,No data,236.3,416.8,No program,FCTC party,No graphic warning labels,90,Not introduced,None,0,1666.4,PBCR,No coverage,Data not featured,75.3,27.4,0,Non-participant
Zambia,ZMB,3.4,16,2.5,47.9,3.6,12.4,0.8,94.7,5.2,27,85,3rd-4th,4,3.5,Other,Medium,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Prostate,No data,266.9,4788.4,National,FCTC party,No graphic warning labels,94,Not introduced,None,0.25,12425.3,PBCR,No coverage,Data not featured,66.4,11.5,4,Global Relay For Life Participant
Zimbabwe,ZWE,2.7,20.5,1.3,45.5,4.7,25.3,1.8,89,4,22,67,2nd,5.8,3.3,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Prostate,Case samples from registries,330.6,5479,Pilot,FCTC party,No graphic warning labels,89,Introduced,None,0.34,18363.1,High quality PBCR,No coverage,Data not featured,62.3,13.3,3,Global Relay For Life Participant
Saudi Arabia,SAU,0.4,24.9,1.7,12,30.8,42.3,0.21,2,2.7,88,0.6,3rd-4th,5.8,2.5,Breast,Very high,3rd-4th,No data,Breast,Breast,Colorectum,Colorectum,Regional high quality data,246.3,15832.4,No program,FCTC party,Graphic warning labels,98,Not introduced,None,1.43,0,High quality PBCR,Very low,Data not featured,2.5,No data,5,Non-participant
Yemen,YEM,0.3,18.8,6.3,13.4,12,22,0.2,78.2,4.4,50,22,2nd,3.9,4.4,Breast,Low,5th-10th,No data,Breast,Breast,Colorectum,Stomach,No data,115.4,6165.2,No program,FCTC party,Graphic warning labels,68,Not introduced,None,0.08,7268,No information,No coverage,Data not featured,1.9,No data,1,Non-participant
South Africa,ZAF,7.7,26.5,5.5,19.6,15.4,39.6,2.2,73.7,2.6,25,11,3rd-4th,28.2,9.7,Breast,Medium,3rd-4th,No data,Breast,Cervix uteri,Prostate,Lung,Regional high quality data,436.2,27016.5,Pilot,FCTC party,No graphic warning labels,66,Introduced,None,0.87,0,High quality PBCR,Medium,Data not featured,43.5,18.8,8,Global Relay For Life Participant
Namibia,NAM,5.9,29.6,7.8,26.9,7.5,25.4,2.8,72.1,3.6,25,54,3rd-4th,5.6,3.1,Breast,Medium,5th-10th,No data,Breast,Cervix uteri,Prostate,Prostate,Case samples from registries,281.7,884.1,Pilot,FCTC party,Graphic warning labels,88,Not introduced,None,0.91,2340.4,PBCR,No coverage,Data not featured,24.2,12.1,1,Non-participant
Israel,ISR,4.2,23.4,13,6,25.9,26.2,8.3,No data,3,21,0.59,1st,27.8,15.2,Breast,Very high,1st,No data,Breast,Breast,Prostate,Lung,National high quality data,706.4,11292.9,No program,FCTC party,No graphic warning labels,97,Introduced,None,1.16,0,High quality PBCR,High,Data not featured,4.8,No data,3,Global Relay For Life Participant
Indonesia,IDN,1.7,66.6,2.1,18.6,4.8,8.9,0.57,78,2.5,17,36,2nd,19.4,6,Breast,Medium,3rd-4th,No data,Breast,Breast,Lung,Lung,No data,298,112876.4,National,Not FCTC party,Graphic warning labels,79,Introduced,None,0.17,122142.1,PBCR,No coverage,Data not featured,23.4,0.4,8,Non-participant
Egypt,EGY,2,44.5,0.1,21.4,22.7,41.1,0.31,85.5,3.4,87,0.8,2nd,11.6,4.2,Breast,Medium,2nd,No data,Breast,Breast,Liver,Liver,No data,308.3,34185.9,No program,FCTC party,Graphic warning labels,94,Not introduced,None,0.92,40941.2,PBCR,Low,Data not featured,2.3,0.05,8,Non-participant
Sudan,SDN,1.4,1.3,0.4,15.6,No data,No data,0.53,91.5,4.8,55,60,2nd,2.9,1.7,Breast,Low,5th-10th,No data,Breast,Breast,Non-Hodgkin lymphoma,Leukemia,No data,158.4,8122.8,Pilot,FCTC party,No graphic warning labels,95,Not introduced,None,0.31,14768.1,PBCR,No coverage,Data not featured,8.2,0.2,2,Non-participant
Denmark,DNK,7.5,16,17.3,3.9,22.3,17,27.6,No data,1.7,10,0.31,1st,37.3,36.3,Breast,Very high,1st,No data,Breast,Lung,Prostate,Lung,National high quality data,1068.9,18850.1,No program,FCTC party,Graphic warning labels,No data,Introduced,None,1.27,0,High quality PBCR,High,Data not featured,10.9,0.1,2,Global Relay For Life Participant
Italy,ITA,6.1,22.8,14.9,7.2,20.1,19.5,12.4,19,1.4,17,0.8,1st,34.5,16,Breast,Very high,1st,No data,Breast,Breast,Prostate,Lung,Regional high quality data,878.4,192094.7,No program,FCTC party,Graphic warning labels,94,Introduced,National,1.13,0,High quality PBCR,High,Data not featured,7.1,0.2,14,Non-participant
China,CHN,4.4,44.8,2,24.2,5.9,6.5,0.36,46.2,1.6,53,32,2nd,47.8,22.8,Breast,High,2nd,0.31,Breast,Lung,Lung,Lung,Regional high quality data,377.6,1969851.5,National,FCTC party,No graphic warning labels,99,Not introduced,Pilot,0.38,651867.3,High quality PBCR,Low,124.2,10.7,No data,15,Non-participant
Montenegro,MNE,7.1,33,26.4,9.7,23.3,23.1,2.6,31.2,1.7,21,37,1st,62.9,19.5,Breast,Very high,1st,No data,Breast,Breast,Lung,Lung,No data,555.6,957.3,No program,FCTC party,Graphic warning labels,73,Not introduced,None,0.85,0,Registration activity,Low,Data not featured,12.5,0.05,0,Non-participant
Serbia,SRB,8.5,34.1,28.1,8.9,21.1,21.8,9,32,1.6,25,39,1st,71.6,30.9,Breast,High,1st,No data,Breast,Breast,Lung,Lung,No data,721.2,17836.7,No program,FCTC party,No graphic warning labels,93,Not introduced,None,0.56,0,PBCR,Medium,Data not featured,20.3,0.05,4,Non-participant
South Sudan,SSD,5.4,13.3,1.7,28.9,No data,No data,0.95,87.4,5.2,46,99,2nd,3.6,2.2,Breast,Low,5th-10th,No data,Breast,Cervix uteri,Prostate,Prostate,No data,168.8,2662,No program,Not FCTC party,No graphic warning labels,26,Not introduced,None,0,11847.2,No information,No coverage,Data not featured,26.9,2.4,0,Non-participant
Lesotho,LSO,7.4,42.3,0.3,51.9,4.6,26.7,1.8,79.8,3.3,28,59,3rd-4th,6.4,1.7,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Kaposi sarcoma,Prostate,No data,199.2,825.3,Pilot,FCTC party,No graphic warning labels,93,Not introduced,None,0,3518,No information,No coverage,Data not featured,52.1,23.8,0,Non-participant
Mauritius,MUS,6.1,30.2,1.5,13.1,5.6,15.7,0.18,No data,1.5,14,2.5,3rd-4th,17.7,5.4,Breast,High,3rd-4th,No data,Breast,Breast,Prostate,Lung,National high quality data,367.6,1199,No program,FCTC party,Graphic warning labels,96,Introduced,None,1.05,0,High quality PBCR,High,Data not featured,12.4,No data,3,Non-participant
Comoros,COM,1.3,19,4.3,38.9,3.3,12.2,0.53,79.4,4.6,21,76,3rd-4th,0.38,No data,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Prostate,No data,166.3,298.7,No program,FCTC party,No graphic warning labels,91,Not introduced,None,0,293.6,No information,No coverage,Data not featured,50.9,0.05,1,Non-participant
Maldives,MDV,3.9,30.8,6.8,12.2,5.8,11.4,No data,84.5,2.2,7.8,6.9,1st,18.9,6.1,Breast,High,1st,No data,Breast,Breast,Lung,Lung,No data,253.6,147.3,Pilot,FCTC party,No graphic warning labels,99,Introduced,None,0,73.5,No information,Low,Data not featured,23.2,No data,1,Non-participant
Seychelles,SYC,10.7,33.9,6.4,No data,7.6,20.5,No data,No data,2.4,20,3.9,No data,No data,No data,No data,High,2nd,No data,No data,No data,No data,No data,National high quality data,No data,140.1,No program,FCTC party,Graphic warning labels,98,Introduced,None,No data,0,High quality PBCR,Medium,Data not featured,No data,No data,0,Non-participant
Singapore,SGP,4.2,17.9,6.3,13,5.8,6.3,0.73,19,1.2,19,0.15,1st,41.5,17.2,Breast,Very high,1st,No data,Breast,Breast,Prostate,Lung,National high quality data,703,6685.1,No program,FCTC party,Graphic warning labels,96,Introduced,None,0.88,1556.3,High quality PBCR,Medium,Data not featured,7.7,0.2,4,Global Relay For Life Participant
Saint Lucia,LCA,7.2,14.3,1.8,No data,12,27,0.41,52.4,1.5,22,5.8,2nd,12.9,2.6,Breast,High,2nd,No data,Breast,Breast,Prostate,Prostate,No data,366.8,198.7,Pilot,FCTC party,Graphic warning labels,80,Introduced,None,0,177.6,Registration activity,Medium,Data not featured,13,No data,0,Non-participant
Saint Vincent and the Grenadines,VCT,5.1,10.8,1.8,No data,16.6,31,No data,No data,2,22,8.7,No data,No data,No data,No data,High,2nd,No data,No data,No data,No data,No data,No data,No data,136,No program,FCTC party,No graphic warning labels,99,Introduced,None,No data,0,No information,High,Data not featured,No data,No data,0,Non-participant
Micronesia (Federated States of),FSM,3.2,20.8,6.5,No data,40.1,51.5,No data,No data,3.3,11,28,No data,No data,No data,No data,Medium,2nd,No data,No data,No data,No data,No data,No data,No data,51.4,No program,FCTC party,No graphic warning labels,80,Introduced,None,No data,0,PBCR,No coverage,Data not featured,No data,No data,0,Non-participant
Solomon Islands,SLB,2.9,28.5,9.7,22.5,17.9,27.1,0.49,88.9,4.1,12,83,2nd,11,3.9,Breast,Low,2nd,No data,Breast,Cervix uteri,Prostate,Liver,No data,207.3,219.1,No program,FCTC party,Graphic warning labels,99,Introduced,None,0,250.6,No information,No coverage,Data not featured,22.6,No data,0,Non-participant
Tuvalu,TUV,No data,No data,No data,No data,47,56.2,No data,62.5,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No program,FCTC party,No graphic warning labels,96,Not introduced,None,No data,0,No information,No coverage,Data not featured,No data,No data,0,Non-participant
Kiribati,KIR,4.5,47.8,24.7,No data,41.6,50.4,No data,92.1,3.8,11,76,No data,No data,No data,No data,Medium,3rd-4th,No data,No data,No data,No data,No data,No data,No data,55.2,National,FCTC party,No graphic warning labels,90,Not introduced,None,No data,0,No information,Low,Data not featured,No data,No data,0,Non-participant
Marshall Islands,MHL,No data,22.8,4.2,No data,48.4,57.3,No data,71.6,No data,10,19,No data,No data,No data,No data,High,No data,No data,No data,No data,No data,No data,No data,No data,32.5,No program,FCTC party,No graphic warning labels,82,Introduced,None,No data,0,PBCR,No coverage,Data not featured,No data,No data,0,Non-participant
Nauru,NRU,No data,35.6,42.1,No data,58.7,63.3,No data,75.1,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No program,FCTC party,No graphic warning labels,87,Not introduced,None,No data,0,No information,No coverage,Data not featured,No data,No data,0,Non-participant
Barbados,BRB,5.9,9.1,0.7,8.4,14.7,31.3,0.69,No data,1.8,23,0.063,1st,13.7,5.8,Breast,Very high,1st,No data,Breast,Breast,Prostate,Prostate,No data,607.9,582.2,No program,FCTC party,No graphic warning labels,90,Introduced,None,0.8,0,PBCR,Medium,Data not featured,15.5,1.6,2,Non-participant
Antigua and Barbuda,ATG,3.7,4.4,2.2,No data,11.6,25.9,No data,No data,2.1,19,1.8,No data,No data,No data,No data,High,2nd,No data,No data,No data,No data,No data,No data,No data,106.8,No program,FCTC party,No graphic warning labels,95,Introduced,None,No data,0,No information,Medium,Data not featured,No data,No data,0,Non-participant
Dominica,DMA,No data,6.5,1.2,No data,19.9,35.6,No data,No data,No data,19,8.4,No data,No data,No data,No data,High,No data,No data,No data,No data,No data,No data,No data,No data,105.3,No program,FCTC party,No graphic warning labels,91,Not introduced,None,No data,0,No information,Medium,Data not featured,No data,No data,0,Non-participant
Grenada,GRD,8,10.5,2.5,No data,13.3,29,No data,No data,2.2,23,3.5,No data,No data,No data,No data,High,2nd,No data,No data,No data,No data,No data,No data,No data,142,Pilot,FCTC party,No graphic warning labels,96,Introduced,None,No data,0,PBCR,High,Data not featured,No data,No data,0,Non-participant
Saint Kitts and Nevis,KNA,No data,No data,No data,No data,15.3,30.1,No data,No data,No data,No data,No data,No data,No data,No data,No data,High,No data,No data,No data,No data,No data,No data,No data,No data,No data,No program,FCTC party,No graphic warning labels,98,Not introduced,None,No data,0,No information,Medium,Data not featured,No data,No data,0,Non-participant
Andorra,AND,No data,30.1,19.8,No data,25.9,25.3,No data,No data,No data,10,0.63,No data,No data,No data,No data,Very high,No data,No data,No data,No data,No data,No data,No data,No data,219,No program,Not FCTC party,Graphic warning labels,98,Introduced,None,No data,0,No information,Medium,Data not featured,No data,No data,0,Non-participant
Cabo Verde,CPV,7.4,17.6,2.6,37.8,6.9,16.3,1.4,83.1,2.5,35,39,2nd,16.3,6.9,Other,Medium,2nd,No data,Cervix uteri,Cervix uteri,Prostate,Prostate,No data,254.2,264.4,No program,FCTC party,No graphic warning labels,97,Not introduced,None,0,312.5,Registration activity,Low,Data not featured,20.5,0.6,0,Non-participant
Sao Tome and Principe,STP,4.6,6.2,1,No data,7.2,16.9,No data,95.8,4.7,29,60,2nd,18.2,6.5,Other,Medium,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Lung,No data,199.2,72.8,No program,FCTC party,No graphic warning labels,95,Introduced,None,0,64,No information,No coverage,Data not featured,20.1,No data,0,Non-participant
Palau,PLW,No data,No data,5.8,No data,51.8,58.8,No data,No data,No data,No data,No data,No data,No data,No data,No data,High,No data,No data,No data,No data,No data,No data,No data,No data,No data,No program,FCTC party,No graphic warning labels,98,Introduced,None,No data,0,No information,Low,Data not featured,No data,No data,0,Non-participant
Monaco,MCO,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No program,Not FCTC party,Graphic warning labels,99,Introduced,None,No data,0,No information,Low,Data not featured,No data,No data,0,Non-participant
Timor-Leste,TLS,1.4,39.8,12.4,11,2.6,4.9,0.32,81.9,5.9,19,88,3rd-4th,15,7.2,Breast,Medium,5th-10th,No data,Breast,Breast,Lung,Lung,No data,155.2,416.6,No program,FCTC party,Graphic warning labels,76,Not introduced,None,0,226.4,No information,No coverage,Data not featured,12.5,No data,0,Non-participant
Tonga,TON,2.9,40.4,10.5,No data,41.4,54.5,No data,58.2,3.8,11,34,No data,No data,No data,No data,High,1st,No data,No data,No data,No data,No data,No data,No data,72,No program,FCTC party,Graphic warning labels,81,Not introduced,None,No data,0,Registration activity,No coverage,Data not featured,No data,No data,0,Non-participant
Samoa,WSM,3.1,31.8,13.4,21.5,39.9,55,No data,78.9,4.2,12,58,2nd,44,28,Breast,High,2nd,No data,Breast,Breast,Prostate,Lung,No data,418.9,72.8,No program,FCTC party,Graphic warning labels,73,Not introduced,None,0,148.1,PBCR,No coverage,Data not featured,12.6,No data,1,Non-participant
Niue,NIU,No data,14.7,7.5,No data,44.8,55.1,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No program,FCTC party,No graphic warning labels,99,Not introduced,None,No data,0,Registration activity,No coverage,Data not featured,No data,No data,0,Non-participant
Cook Islands,COK,No data,No data,16.4,No data,52.6,59.2,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No program,FCTC party,Graphic warning labels,99,Introduced,None,No data,0,Registration activity,Medium,Data not featured,No data,No data,0,Non-participant
Bahrain,BHR,2.1,44.5,5.7,9.7,25.5,36.8,0.1,71.8,2.1,71,0.73,2nd,16.3,6.7,Breast,Very high,2nd,No data,Breast,Breast,Colorectum,Lung,National high quality data,265.9,547.4,No program,FCTC party,Graphic warning labels,98,Not introduced,None,1.91,0,High quality PBCR,Low,Data not featured,3.8,0.05,1,Non-participant
Bahrain,BHR,2.1,44.5,5.7,9.7,25.5,36.8,0.1,71.8,2.1,71,0.73,2nd,16.3,6.7,Breast,Very high,2nd,No data,Breast,Breast,Colorectum,Lung,National high quality data,265.9,547.4,No program,FCTC party,Graphic warning labels,98,Not introduced,None,1.91,0,High quality PBCR,Low,Data not featured,3.8,0.05,1,Non-participant
Timor-Leste,TLS,1.4,39.8,12.4,11,2.6,4.9,0.32,81.9,5.9,19,88,3rd-4th,15,7.2,Breast,Medium,5th-10th,No data,Breast,Breast,Lung,Lung,No data,155.2,416.6,No program,FCTC party,Graphic warning labels,76,Not introduced,None,0,226.4,No information,No coverage,Data not featured,12.5,No data,0,Non-participant
Cyprus,CYP,4.8,37.5,14.5,5.4,21.9,21.6,4.5,No data,1.4,17,0.59,1st,41,8.4,Breast,Very high,1st,No data,Breast,Breast,Prostate,Lung,No data,743.2,2548.8,No program,FCTC party,Graphic warning labels,97,Introduced,None,1.04,0,High quality PBCR,Low,Data not featured,5.7,0.1,2,Non-participant
Lebanon,LBN,1.5,37.4,21.3,7.3,27.4,37,1.8,45.8,1.7,31,0.016,2nd,31.3,14.8,Breast,High,2nd,No data,Breast,Breast,Prostate,Lung,No data,593.7,11886,No program,FCTC party,No graphic warning labels,78,Not introduced,None,1.04,2984.6,PBCR,No coverage,Data not featured,5.7,0.05,3,Non-participant
Luxembourg,LUX,6.7,19,16.1,5.4,24.5,20.7,16.5,No data,1.5,10,0.47,1st,40,18.2,Breast,Very high,1st,No data,Breast,Breast,Prostate,Lung,No data,975.6,1650.3,No program,FCTC party,Graphic warning labels,94,Introduced,None,1.22,0,PBCR,High,Data not featured,5.6,0.3,2,Global Relay For Life Participant
Malta,MLT,6.2,23.5,13.7,5.7,29.2,28.5,8,No data,1.4,14,0.65,1st,28.2,11.8,Breast,Very high,1st,No data,Breast,Breast,Prostate,Lung,National high quality data,729.5,1117.3,No program,FCTC party,Graphic warning labels,88,Introduced,None,1.3,0,High quality PBCR,High,Data not featured,3.5,No data,1,Non-participant
Trinidad and Tobago,TTO,4.4,22.3,5.1,11,10.8,26,0.58,42.1,1.8,24,0.8,2nd,21.8,5.1,Breast,High,2nd,No data,Breast,Breast,Prostate,Prostate,No data,432.1,1488.7,No program,FCTC party,Graphic warning labels,89,Introduced,None,1.19,602.9,PBCR,High,Data not featured,15.2,1.1,1,Non-participant
French Guiana,GUF,No data,No data,No data,18.8,No data,No data,3.7,No data,3.5,No data,No data,No data,27.2,12.8,Breast,No data,No data,No data,Breast,Breast,Prostate,Lung,No data,703.6,No data,No program,No data,No data,No data,Not introduced,None,1.6,No data,PBCR,No coverage,Data not featured,20.8,No data,0,Non-participant
Liechtenstein,LIE,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,Very high,No data,No data,No data,No data,No data,No data,No data,No data,No data,No program,Not FCTC party,No data,No data,Not introduced,None,No data,No data,No information,No coverage,Data not featured,No data,No data,0,Non-participant
New Caledonia,NCL,No data,No data,No data,7.9,No data,No data,7.3,No data,2.2,No data,No data,No data,59.9,26,Breast,No data,No data,No data,Breast,Lung,Prostate,Lung,No data,917.6,No data,No program,No data,No data,No data,Not introduced,None,0.82,No data,PBCR,No coverage,Data not featured,16.5,No data,0,Non-participant
Western Sahara,ESH,No data,No data,No data,23.6,No data,No data,No data,No data,2.6,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No program,No data,No data,No data,Not introduced,None,No data,No data,No information,No coverage,Data not featured,No data,No data,0,Non-participant
Svalbard and Jan Mayen Islands,SJM,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No program,No data,No data,No data,Not introduced,None,No data,No data,No information,No coverage,Data not featured,No data,No data,0,Non-participant
Occupied Palestinian Territory,PSE,No data,No data,No data,8.5,No data,No data,0.77,67.3,No data,33,0.4,No data,26.7,5,Breast,Medium,No data,No data,Breast,Breast,Lung,Lung,No data,339.9,No data,No program,No data,No graphic warning labels,No data,Not introduced,None,0,No data,Registration activity,No coverage,Data not featured,2.5,No data,0,Non-participant
Greenland,GRL,No data,No data,No data,No data,No data,No data,No data,No data,No data,12,0.64,No data,No data,No data,No data,No data,No data,89.27,No data,No data,No data,No data,No data,No data,73.4,No program,No data,No data,No data,Not introduced,None,No data,No data,No information,No coverage,Data not featured,No data,No data,0,Non-participant
Holy See,VAT,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No program,No data,No data,No data,No data,None,No data,No data,No information,No coverage,Data not featured,No data,No data,0,Non-participant
RŽunion,REU,No data,No data,No data,12.4,No data,No data,3.3,No data,2.4,No data,No data,No data,34.6,9.6,Breast,No data,No data,No data,Breast,Breast,Prostate,Lung,No data,590.1,No data,No program,No data,No data,No data,Not introduced,None,No data,No data,High quality PBCR,No coverage,Data not featured,10.5,No data,0,Non-participant
French Polynesia,PYF,No data,No data,No data,6.6,No data,No data,6.5,No data,2.1,No data,No data,No data,55.7,23.4,Breast,No data,No data,No data,Breast,Lung,Prostate,Lung,No data,661.9,No data,No program,No data,No data,No data,Not introduced,None,No data,No data,PBCR,No coverage,Data not featured,10.1,No data,0,Non-participant
Guadeloupe,GLP,No data,No data,No data,10.2,No data,No data,1.5,No data,2,No data,No data,No data,13,6.5,Breast,No data,No data,No data,Breast,Breast,Prostate,Prostate,No data,776.5,No data,No program,No data,No data,No data,Not introduced,None,0.88,No data,PBCR,No coverage,Data not featured,9.3,No data,1,Non-participant
Guam,GUM,No data,No data,No data,8.5,No data,No data,No data,No data,2.4,12,7.7,No data,53.7,24.3,Breast,No data,No data,No data,Breast,Lung,Lung,Lung,No data,418,168.8,No program,No data,No data,No data,No data,None,2.58,No data,PBCR,No coverage,Data not featured,18.7,No data,0,Non-participant
Martinique,MTQ,No data,No data,No data,6.6,No data,No data,2,No data,2,No data,No data,No data,12.3,9.2,Breast,No data,No data,No data,Breast,Breast,Prostate,Prostate,National high quality data,747,No data,No program,No data,No data,No data,Not introduced,None,1.46,No data,High quality PBCR,No coverage,Data not featured,7.6,No data,1,Non-participant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,